"x","y","X","N","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An","Labels","Zone"
450.5,252.5,123951,4,5245,4099,8,48,16,37,9,429,6274,40,83.6168820486219,"SK394AZone4a",3
450.5,253.5,123451,4,5123,3933,6,62,15,42,4,503,6448,50,80.2536300470686,"SK394AZone4a",3
450.5,254.5,122951,4,5235,4057,2,47,20,40,4,472,6357,38,82.7659387711205,"SK394AZone4a",3
450.5,256.5,121951,4,5235,3980,4,46,14,39,9,473,6494,40,81.2058760957012,"SK394AZone4a",3
450.5,257.5,121451,4,5094,4029,6,44,22,39,9,482,6416,55,82.1986432527862,"SK394AZone4a",3
451.5,184.5,157952,4,5148,4010,5,55,20,43,7,509,6441,50,81.8136927224879,"SK394AZone2a",3
451.5,185.5,157452,4,5294,3958,5,35,18,44,4,433,6341,39,80.7601439027242,"SK394AZone2a",3
451.5,186.5,156952,4,5279,3882,4,42,17,56,4,430,6434,56,79.2203417815312,"SK394AZone2a",3
451.5,187.5,156452,4,5337,4035,4,30,18,33,6,462,6468,55,82.3202065781435,"SK394AZone2a",3
451.5,188.5,155952,4,5247,3886,5,39,20,37,7,489,6497,44,79.3013839984361,"SK394AZone2a",3
451.5,189.5,155452,4,5139,4029,6,45,24,43,6,472,6251,46,82.1986432527862,"SK394AZone2a",3
451.5,190.5,154952,4,5166,3968,3,34,16,52,9,460,6372,51,80.9627494449865,"SK394AZone2a",3
451.5,191.5,154452,4,4884,3446,8,54,24,48,7,706,6679,47,70.3867401388974,"SK394AZone2a",3
451.5,192.5,153952,4,5011,3682,3,34,12,46,5,588,6519,46,75.1682309362863,"SK394AZone2a",3
451.5,193.5,153452,4,5167,3928,5,38,22,42,10,450,6503,45,80.1523272759375,"SK394AZone2a",3
451.5,194.5,152952,4,5340,4159,7,38,13,38,10,314,6173,62,84.8325153021953,"SK394AZone2a",3
451.5,195.5,152452,4,5398,4364,6,45,20,43,7,289,6213,58,88.9859289185713,"SK394AZone2a",3
451.5,196.5,151952,4,5306,4273,3,55,20,43,8,271,6269,58,87.1422184839849,"SK394AZone2a",3
451.5,197.5,151452,4,5498,4350,7,48,19,34,14,284,6065,41,88.7022811594042,"SK394AZone2a",3
451.5,198.5,150952,4,5222,4268,11,40,12,45,5,268,6133,45,87.0409157128538,"SK394AZone2a",3
451.5,199.5,150452,4,5380,4350,8,36,19,53,8,310,6126,37,88.7022811594042,"SK394AZone2a",3
451.5,200.5,149952,4,5181,3678,8,30,22,52,17,648,6565,46,75.0871887193814,"SK394AZone2a",3
451.5,201.5,149452,4,5254,3964,4,34,20,43,10,425,6294,61,80.8817072280816,"SK394AZone2a",3
451.5,202.5,148952,4,5027,3922,3,48,19,57,7,461,6279,38,80.0307639505802,"SK394AZone2a",3
451.5,203.5,148452,4,5105,4019,8,46,22,47,14,500,6419,39,81.9960377105239,"SK394AZone2a",3
451.5,204.5,147952,4,4971,3919,4,35,21,69,5,430,6200,48,79.9699822879015,"SK394AZone2a",3
451.5,205.5,147452,4,5287,4114,2,55,25,57,7,448,6470,45,83.9207903620153,"SK394AZone2a",3
451.5,206.5,146952,4,5114,3922,3,42,24,44,6,455,6405,48,80.0307639505802,"SK394AZone2a",3
451.5,207.5,146452,4,5218,3924,6,45,24,28,11,486,6369,49,80.0712850590326,"SK394AZone2a",3
