"","x","y","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An"
"42394",143.5,80.5,5046,5982,10,81,37,42,2,49,5408,10,93
"42395",144.5,80.5,5137,6112,19,58,33,26,4,51,5456,25,94
"42396",145.5,80.5,5198,6048,12,50,34,37,0,53,5424,16,94
"42397",146.5,80.5,4976,6105,12,81,46,30,2,44,5520,14,94
"42398",147.5,80.5,5050,6024,10,64,32,35,3,59,5533,21,93
"42399",148.5,80.5,5074,6118,11,68,34,29,1,39,5445,20,95
"42400",149.5,80.5,5097,6095,8,61,39,39,1,36,5357,16,94
"42401",150.5,80.5,5053,6040,18,53,31,38,4,62,5487,20,93
"42402",151.5,80.5,5066,5962,11,75,38,38,2,44,5491,18,92
"42403",152.5,80.5,4952,5843,15,87,40,32,6,63,5552,17,91
"42404",153.5,80.5,5038,5928,6,74,38,26,3,54,5420,16,92
"42405",154.5,80.5,4935,6052,12,51,34,30,7,58,5456,16,94
"42406",155.5,80.5,5116,5883,9,93,32,47,2,62,5570,16,91
"42597",96.5,79.5,4712,5505,11,123,54,57,3,84,5586,42,86
"42598",97.5,79.5,4812,5703,12,102,37,37,5,95,5356,19,89
"42610",109.5,79.5,5027,5998,6,66,43,36,4,56,5429,19,93
"42611",110.5,79.5,4945,5991,11,88,37,39,5,59,5473,21,93
"42612",111.5,79.5,4997,6022,16,63,35,33,2,59,5431,26,93
"42613",112.5,79.5,5038,5948,12,64,26,37,2,53,5583,22,92
"42614",113.5,79.5,4835,5896,9,75,30,49,0,74,5448,19,91
"42615",114.5,79.5,4892,5811,13,76,39,27,6,82,5581,11,90
"42616",115.5,79.5,4948,5917,13,79,29,31,2,79,5588,22,92
"42617",116.5,79.5,5004,5945,10,75,41,29,3,68,5469,19,92
"42618",117.5,79.5,4937,5868,14,81,45,33,0,50,5176,18,91
"42619",118.5,79.5,5077,6036,11,61,30,32,1,56,5431,27,93
"42620",119.5,79.5,4995,6117,15,66,46,39,3,50,5348,13,95
"42621",120.5,79.5,5052,6194,16,54,39,39,3,36,5475,19,96
"42622",121.5,79.5,5007,6055,16,52,27,24,4,38,5572,15,94
"42623",122.5,79.5,5136,5962,15,50,35,38,5,42,5519,11,92
"42624",123.5,79.5,5179,6040,13,71,32,37,5,58,5510,22,93
"42625",124.5,79.5,5065,6046,13,62,44,34,1,44,5402,20,94
"42626",125.5,79.5,5130,6147,10,65,41,30,3,42,5421,16,95
"42627",126.5,79.5,5157,6168,10,60,36,36,1,53,5279,15,95
"42628",127.5,79.5,5063,6026,15,66,41,24,1,53,5326,13,93
"42629",128.5,79.5,5021,6034,16,56,41,24,1,43,5310,17,93
"42630",129.5,79.5,5100,6056,3,47,32,40,1,35,5383,15,94
"42631",130.5,79.5,5137,5910,11,76,43,31,0,47,5390,21,92
"42632",131.5,79.5,5085,6171,14,67,40,23,3,45,5332,18,95
"42633",132.5,79.5,5058,6216,13,57,41,36,2,48,5335,17,96
"42634",133.5,79.5,5074,6144,10,42,52,47,4,55,5466,16,95
"42635",134.5,79.5,5158,5940,12,68,32,43,3,58,5446,13,92
"42636",135.5,79.5,4948,5737,11,88,34,25,3,67,5408,27,89
"42637",136.5,79.5,4959,6150,10,70,44,34,3,36,5406,16,95
"42638",137.5,79.5,5162,6178,17,64,36,30,6,49,5419,23,95
"42639",138.5,79.5,5064,6059,10,59,34,30,3,47,5468,22,94
"42641",140.5,79.5,5164,5917,8,76,42,38,1,47,5205,18,92
"42642",141.5,79.5,5061,5925,11,62,33,22,2,37,5391,18,92
"42643",142.5,79.5,5159,5949,9,65,49,32,0,38,5465,21,92
"42644",143.5,79.5,4999,6034,16,64,29,27,1,42,5439,21,93
"42645",144.5,79.5,4930,6023,11,66,34,35,4,54,5435,18,93
