"","x","y","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An"
"21348",97.5,164.5,4843,5401,10,91,39,39,4,107,5615,29,87
"21351",100.5,164.5,5066,5801,14,69,41,37,1,58,5486,21,92
"21352",101.5,164.5,4966,5943,18,66,43,34,3,73,5531,17,94
"21353",102.5,164.5,5047,5804,13,53,44,24,1,79,5520,26,92
"21354",103.5,164.5,5010,5830,7,61,39,30,1,76,5508,17,93
"21355",104.5,164.5,4754,5468,12,65,35,33,2,62,5232,14,88
"21356",105.5,164.5,4946,5941,9,81,26,20,3,53,5400,20,94
"21357",106.5,164.5,5054,5850,13,73,39,26,5,54,5348,25,93
"21358",107.5,164.5,4996,5713,12,70,41,32,3,60,5531,22,91
"21359",108.5,164.5,4977,5906,13,55,35,27,4,67,5441,14,94
"21360",109.5,164.5,5003,5690,14,77,40,29,4,52,5583,19,91
"21361",110.5,164.5,5182,4677,7,64,37,38,1,55,4853,19,76
"21363",112.5,164.5,4935,4925,14,152,59,44,16,45,4494,24,80
"21369",118.5,164.5,4768,5405,11,76,39,23,3,111,5628,21,87
"21370",119.5,164.5,4792,5360,10,77,36,32,7,115,5718,22,86
"21371",120.5,164.5,4949,5372,11,82,40,41,3,80,5501,19,86
"21514",13.5,163.5,5033,5642,8,65,50,31,2,75,5633,20,90
"21515",14.5,163.5,4971,5728,15,70,41,35,2,80,5570,25,91
"21516",15.5,163.5,4960,5607,11,124,45,38,2,64,5288,20,90
"21518",17.5,163.5,4876,5418,9,83,28,36,3,71,5650,21,87
"21519",18.5,163.5,4897,5652,4,66,42,34,4,56,5502,14,90
"21520",19.5,163.5,5088,5740,13,73,30,23,4,63,5519,17,92
"21521",20.5,163.5,5088,5833,15,67,31,27,2,52,5488,23,93
"21522",21.5,163.5,4859,5928,15,82,33,35,3,71,5657,15,94
"21523",22.5,163.5,4880,5571,10,80,29,41,4,64,5593,26,89
"21524",23.5,163.5,4903,5742,9,78,31,37,4,92,5553,25,92
"21525",24.5,163.5,4699,5532,8,66,29,35,1,51,5305,25,89
"21526",25.5,163.5,4922,5270,17,82,42,37,3,77,5549,25,85
"21560",59.5,163.5,4861,5408,19,90,31,43,1,107,5672,16,87
"21561",60.5,163.5,4951,5793,13,67,32,39,4,69,5559,17,92
"21563",62.5,163.5,4924,5132,15,88,59,32,2,71,5481,22,83
"21597",96.5,163.5,4599,5446,10,95,39,35,3,94,5400,23,87
"21598",97.5,163.5,4657,5269,10,79,41,43,4,112,5489,21,85
"21599",98.5,163.5,4879,5420,9,85,39,33,7,90,5694,21,87
"21600",99.5,163.5,5037,5493,9,72,37,30,2,77,5478,16,88
"21601",100.5,163.5,5128,5852,12,72,39,32,2,60,5490,13,93
"21602",101.5,163.5,4889,5870,4,65,25,24,3,54,5497,16,93
"21603",102.5,163.5,4888,5478,12,49,35,35,4,57,5269,11,88
"21604",103.5,163.5,4847,5740,16,54,36,32,1,57,5550,14,92
"21605",104.5,163.5,5162,5662,10,76,39,27,3,76,5603,10,90
"21606",105.5,163.5,5182,5249,9,75,39,33,3,67,5336,25,85
"21608",107.5,163.5,5029,5804,12,71,36,25,1,60,5509,16,92
"21609",108.5,163.5,4866,5827,7,57,44,26,4,41,5541,22,93
"21610",109.5,163.5,4955,5783,16,79,38,29,4,53,5526,19,92
"21611",110.5,163.5,5061,5746,15,79,35,37,5,47,5575,19,92
"21612",111.5,163.5,4918,5731,14,67,34,34,6,49,5438,15,91
"21613",112.5,163.5,5054,5802,10,76,44,28,4,56,5533,16,92
"21614",113.5,163.5,5046,5817,16,68,35,47,6,68,5502,18,93
"21615",114.5,163.5,4922,5581,12,80,27,26,4,77,5478,11,89
"21616",115.5,163.5,4967,5783,11,51,24,27,4,63,5474,15,92
"21617",116.5,163.5,5042,5898,6,72,38,29,2,47,5450,23,94
"21618",117.5,163.5,5091,5645,11,55,30,31,2,81,5595,25,90
"21619",118.5,163.5,4824,5318,13,75,47,40,6,124,5652,26,86
"21620",119.5,163.5,4775,5510,14,73,19,43,6,89,5634,16,88
"21621",120.5,163.5,5028,5617,12,83,24,29,4,96,5490,17,90
"21759",8.5,162.5,4766,5544,13,100,44,30,3,74,5654,20,89
"21760",9.5,162.5,5033,5872,9,84,38,40,5,69,5486,23,93
"21765",14.5,162.5,5054,5892,10,69,31,33,2,57,5513,20,94
"21766",15.5,162.5,4963,5717,14,76,30,37,1,55,5481,17,91
"21767",16.5,162.5,4844,5645,15,101,27,44,1,66,5538,23,90
"21768",17.5,162.5,4898,5647,8,87,42,34,7,68,5531,17,90
"21770",19.5,162.5,4958,5582,13,82,47,36,5,97,5575,16,89
"21771",20.5,162.5,4753,5502,12,71,40,46,2,72,5355,17,88
"21774",23.5,162.5,4857,5597,9,74,37,43,2,55,5486,18,89
"21775",24.5,162.5,4998,5369,12,78,41,31,3,95,5621,17,86
"21811",60.5,162.5,4866,5400,10,83,50,23,2,103,5790,18,87
"21847",96.5,162.5,4769,5288,15,79,39,27,4,107,5676,18,85
"21848",97.5,162.5,4731,5400,7,67,32,49,4,132,5828,19,87
"21849",98.5,162.5,4924,5479,11,75,30,39,1,94,5517,17,88
"21850",99.5,162.5,4933,5781,13,68,26,27,3,53,5497,17,92
