"","x","y","N","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An"
"4626",125.5,490.5,2,5017,3721,4,52,37,50,10,551,6419,46,75.9583925511091
"4627",126.5,490.5,2,5019,3695,9,45,27,42,7,522,6172,58,75.4316181412272
"4628",127.5,490.5,2,5134,4040,5,40,16,44,7,397,6358,71,82.4215093492746
"4629",128.5,490.5,2,5283,4048,6,43,11,57,8,419,6383,50,82.5835937830844
"4630",129.5,490.5,2,5297,4052,2,31,16,43,7,484,6389,44,82.6646359999893
"4631",130.5,490.5,2,5096,3971,8,46,20,48,8,488,6281,50,81.0235311076652
"4632",131.5,490.5,2,5160,4081,4,48,27,43,8,466,6357,62,83.2521920725498
"4633",132.5,490.5,2,5261,4058,4,50,27,42,5,452,6571,48,82.7861993253467
"4634",133.5,490.5,2,5361,3986,6,38,21,37,7,484,6422,51,81.3274394210585
"4635",134.5,490.5,2,5241,3931,7,39,10,49,10,460,6389,43,80.2131089386162
"4638",137.5,490.5,2,5325,4016,4,35,25,47,11,528,6522,48,81.9352560478453
"4639",138.5,490.5,2,4878,3748,4,73,24,111,6,535,6662,59,76.5054275152171
"4642",141.5,490.5,2,5267,4079,6,45,29,50,10,472,6417,53,83.2116709640974
"4643",142.5,490.5,2,5208,4060,8,43,16,48,8,454,6254,33,82.8267204337991
"4644",143.5,490.5,2,5174,3926,2,36,15,46,5,473,6297,48,80.1118061674851
"4645",144.5,490.5,2,5146,4014,5,48,22,55,5,425,6400,46,81.8947349393928
"4646",145.5,490.5,2,5113,3903,3,41,11,40,12,493,6294,43,79.6458134202819
"4648",147.5,490.5,2,5132,3948,7,50,15,27,6,531,6447,57,80.557538360462
"4667",166.5,490.5,2,5285,4030,5,51,14,41,12,474,6422,43,82.2189038070124
"4668",167.5,490.5,2,5201,3782,0,50,35,49,7,589,6716,45,77.1942863589088
"4669",168.5,490.5,2,5033,3742,7,46,23,53,11,554,6458,61,76.3838641898598
"4670",169.5,490.5,2,5129,4031,3,40,11,29,6,465,6419,50,82.2391643612386
"4671",170.5,490.5,2,5207,3953,7,42,20,38,7,472,6540,72,80.6588411315931
"4672",171.5,490.5,2,5071,4006,5,39,12,40,12,458,6154,53,81.732650505583
"4684",183.5,490.5,2,5295,4031,2,39,18,43,4,426,6299,46,82.2391643612386
"4685",184.5,490.5,2,5153,4019,6,48,16,37,7,480,6418,60,81.9960377105239
"4686",185.5,490.5,2,5342,4096,7,43,17,52,8,406,6181,40,83.5561003859432
"4687",186.5,490.5,2,5107,4063,11,41,29,43,4,502,6551,46,82.8875020964778
"4748",247.5,490.5,2,5182,4041,7,27,14,39,3,454,6475,35,82.4417699035009
"4749",248.5,490.5,2,5260,4019,5,54,25,45,8,424,6538,45,81.9960377105239
"4750",249.5,490.5,2,5405,4023,8,47,20,49,3,499,6408,49,82.0770799274288
"4786",285.5,490.5,2,5003,3906,7,50,20,50,6,530,6577,36,79.7065950829606
"4787",286.5,490.5,2,4990,3719,8,56,36,58,3,624,6528,55,75.9178714426566
"4788",287.5,490.5,2,5016,3791,6,38,23,40,9,597,6353,41,77.3766313469448
"4789",288.5,490.5,2,5203,4093,7,46,21,49,5,496,6481,51,83.4953187232645
"4893",392.5,490.5,2,4927,3835,4,60,37,46,8,509,6488,59,78.2680957328986
"4957",456.5,490.5,2,5208,4001,8,61,17,36,7,452,6483,43,81.6313477344519
"4958",457.5,490.5,2,5120,4015,5,48,23,53,7,493,6407,51,81.914995493619
"4959",458.5,490.5,2,5100,3975,3,58,18,39,13,524,6622,39,81.10457332457
"4960",459.5,490.5,2,5360,4114,5,48,20,44,7,456,6335,47,83.9207903620153
"5118",117.5,489.5,2,4906,3762,2,60,30,54,4,516,6347,45,76.7890752743843
"5119",118.5,489.5,2,5014,3945,3,48,21,35,9,499,6394,59,80.4967566977833
"5120",119.5,489.5,2,5213,4019,6,44,15,52,7,459,6321,45,81.9960377105239
"5121",120.5,489.5,2,5295,4090,9,35,23,53,7,478,6460,49,83.4345370605859
"5122",121.5,489.5,2,5168,4062,6,31,19,49,7,480,6472,58,82.8672415422516
"5123",122.5,489.5,2,5050,3935,4,48,19,54,9,474,6457,56,80.2941511555211
"5124",123.5,489.5,2,5161,4032,4,44,13,39,8,426,6420,45,82.2594249154648
"5125",124.5,489.5,2,5215,3985,10,50,17,53,10,459,6223,45,81.3071788668323
"5126",125.5,489.5,2,5013,3936,5,48,24,63,9,432,6273,50,80.3144117097473
"5127",126.5,489.5,2,5165,4061,4,52,20,49,4,459,6224,35,82.8469809880254
"5128",127.5,489.5,2,5096,4009,4,35,23,44,4,435,6252,48,81.7934321682617
"5129",128.5,489.5,2,5135,3955,7,45,21,35,3,460,6177,46,80.6993622400456
"5130",129.5,489.5,2,5267,4122,4,34,12,43,9,491,6460,53,84.082874795825
"5131",130.5,489.5,2,5311,4089,8,23,21,40,5,430,6489,52,83.4142765063596
"5132",131.5,489.5,2,5247,4002,6,43,23,43,6,454,6446,56,81.6516082886781
"5133",132.5,489.5,2,5250,3998,3,48,16,40,6,442,6530,35,81.5705660717732
"5134",133.5,489.5,2,5247,3869,5,50,16,35,12,486,6507,46,78.9569545765903
"5135",134.5,489.5,2,5358,4039,2,38,19,50,8,446,6483,44,82.4012487950484
"5138",137.5,489.5,2,5262,3913,9,45,17,43,8,463,6583,55,79.8484189625441
"5139",138.5,489.5,2,5172,3944,7,50,20,42,13,448,6444,36,80.4764961435571
"5140",139.5,489.5,2,5037,3942,10,31,27,52,5,433,6231,40,80.4359750351046
"5141",140.5,489.5,2,5217,3970,7,34,19,45,6,454,6489,55,81.0032705534389
"5142",141.5,489.5,2,5318,4061,8,31,22,38,8,485,6432,39,82.8469809880254
"5143",142.5,489.5,2,5278,4087,5,44,16,43,8,467,6456,40,83.3737553979072
"5144",143.5,489.5,2,5245,4010,6,46,17,45,7,434,6549,63,81.8136927224879
"5145",144.5,489.5,2,5213,3985,2,40,22,35,9,437,6570,57,81.3071788668323
"5146",145.5,489.5,2,5069,3922,10,35,16,42,3,420,6035,37,80.0307639505802
"5147",146.5,489.5,2,5312,3942,6,49,13,39,7,465,6545,37,80.4359750351046
"5148",147.5,489.5,2,5185,3941,3,39,15,50,2,480,6291,60,80.4157144808784
"5149",148.5,489.5,2,5344,4057,4,32,25,57,6,450,6352,41,82.7659387711205
"5150",149.5,489.5,2,5147,3870,9,41,30,34,5,509,6446,46,78.9772151308165
"5168",167.5,489.5,2,5376,4032,6,50,17,37,11,459,6267,35,82.2594249154648
"5169",168.5,489.5,2,5197,3885,8,45,23,38,8,505,6297,52,79.2811234442099
"5170",169.5,489.5,2,5195,3905,7,45,21,37,9,404,6374,44,79.6863345287343
"5171",170.5,489.5,2,5235,3992,4,44,18,41,3,472,6484,49,81.4490027464159
"5172",171.5,489.5,2,5264,3952,7,54,22,49,7,420,6153,39,80.6385805773669
"5185",184.5,489.5,2,5275,3959,2,41,24,50,10,448,6407,51,80.7804044569505
"5186",185.5,489.5,2,5230,4054,4,44,20,42,8,452,6281,49,82.7051571084418
"5187",186.5,489.5,2,5231,3944,6,28,24,38,7,525,6523,50,80.4764961435571
"5188",187.5,489.5,2,5190,3987,9,43,19,35,9,486,6400,60,81.3476999752848
"5189",188.5,489.5,2,5147,4092,4,42,15,53,4,464,6561,50,83.4750581690383
"5190",189.5,489.5,2,5287,4134,3,45,21,46,8,412,6420,35,84.3260014465397
"5248",247.5,489.5,2,5180,4072,3,52,16,47,3,408,6427,53,83.0698470845138
"5249",248.5,489.5,2,5247,4120,8,46,25,43,11,448,6338,55,84.0423536873726
"5250",249.5,489.5,2,5300,4062,8,49,23,34,16,451,6319,48,82.8672415422516
"5251",250.5,489.5,2,4949,3621,4,67,37,55,4,692,6828,47,73.9323371284866
"5287",286.5,489.5,2,4963,3779,4,61,28,62,10,594,6650,49,77.1335046962301
"5288",287.5,489.5,2,5131,3841,5,61,28,64,15,485,6520,55,78.389659058256
"5289",288.5,489.5,2,5012,3840,4,37,22,52,9,586,6542,48,78.3693985040298
"5392",391.5,489.5,2,5217,4007,6,47,24,38,13,432,6421,40,81.7529110598092
"5393",392.5,489.5,2,5237,3794,6,62,39,56,9,530,6659,49,77.4374130096234
"5394",393.5,489.5,2,5306,3980,5,48,20,47,10,505,6498,49,81.2058760957012
"5395",394.5,489.5,2,5198,3783,7,49,24,41,13,486,6379,47,77.214546913135
"5456",455.5,489.5,2,5180,3801,6,46,26,56,11,503,6566,35,77.579236889207
"5457",456.5,489.5,2,5176,4077,10,50,21,47,7,432,6567,53,83.1711498556449
"5458",457.5,489.5,2,5177,3848,5,51,33,52,4,525,6608,43,78.5314829378396
"5459",458.5,489.5,2,5309,3956,6,49,28,49,7,529,6503,44,80.7196227942718
"5460",459.5,489.5,2,5153,4066,7,45,24,39,5,483,6523,48,82.9482837591565
"5461",460.5,489.5,2,5290,4041,5,33,13,37,5,432,6556,51,82.4417699035009
"5610",109.5,488.5,2,5165,3834,2,59,28,52,7,569,6710,60,78.2478351786724
"5611",110.5,488.5,2,5242,4027,1,45,19,52,7,504,6404,48,82.1581221443337
"5612",111.5,488.5,2,5275,3999,3,38,12,47,11,434,6169,34,81.5908266259994
"5613",112.5,488.5,2,5225,3981,5,40,15,42,8,462,6290,53,81.2261366499274
"5614",113.5,488.5,2,5343,4081,2,37,19,41,2,460,6344,39,83.2521920725498
"5615",114.5,488.5,2,5208,4039,9,50,19,37,10,475,6363,48,82.4012487950484
"5616",115.5,488.5,2,5142,4096,5,46,21,62,4,446,6370,48,83.5561003859432
"5617",116.5,488.5,2,5237,4135,6,38,22,51,11,473,6457,43,84.346262000766
"5618",117.5,488.5,2,5233,4121,4,33,25,47,10,441,6387,41,84.0626142415988
"5619",118.5,488.5,2,5335,4158,4,43,15,38,10,434,6267,48,84.8122547479691
"5620",119.5,488.5,2,5352,3989,3,36,21,41,8,420,6413,47,81.3882210837372
"5621",120.5,488.5,2,5285,4014,11,50,18,36,8,468,6479,45,81.8947349393928
